,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
82,406,24230,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
83,406,24296,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
84,406,24296,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
85,406,24602,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
86,406,24602,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
87,406,24609,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
88,406,24609,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
89,406,24660,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
90,406,24660,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
91,406,24818,8507,,,,88,1.0,101.0,51.0,31.803997435441403,51.0,11.0,21.0,81.0,91.0
92,406,24818,8532,,,,88,1.0,101.0,51.0,31.803997435441403,51.0,11.0,21.0,81.0,91.0
93,406,24884,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
94,406,24884,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
95,406,24897,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
96,406,24897,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
97,406,24909,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
98,406,24909,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
99,406,24970,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
100,406,24970,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
101,406,24974,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
102,406,24974,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
103,406,24977,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
104,406,24977,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
105,406,25056,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
106,406,25056,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
107,406,25297,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
108,406,25297,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
109,406,25486,8507,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
110,406,25486,8532,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
111,406,25518,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
112,406,25518,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
113,406,25572,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
114,406,25572,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
115,406,25748,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
116,406,25748,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
117,406,25844,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
118,406,25844,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
119,406,26361,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
120,406,26361,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
121,406,26378,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
122,406,26378,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
123,406,26662,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
124,406,26662,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
125,406,26719,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
126,406,26719,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
127,406,26727,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
128,406,26727,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
129,406,26935,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
130,406,26935,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
131,406,26942,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
132,406,26942,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
133,406,27438,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
134,406,27438,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
135,406,27835,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
136,406,27835,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
137,406,28060,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
138,406,28060,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
139,406,28083,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
140,406,28083,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
141,406,28109,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
142,406,28109,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
143,406,28179,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
144,406,28179,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
145,406,28356,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
146,406,28356,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
147,406,28396,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
148,406,28396,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
149,406,28403,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
150,406,28403,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
151,406,28457,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
152,406,28457,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
153,406,28461,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
154,406,28461,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
155,406,28779,8507,,,,176,0.0,101.0,50.99431818181818,31.722096338418368,51.0,11.0,21.0,81.0,91.0
156,406,28779,8532,,,,176,1.0,101.0,51.0,31.712998686883676,51.0,11.0,21.0,81.0,91.0
157,406,29735,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
158,406,29735,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
159,406,29979,8507,,,,198,1.0,101.0,51.0,31.702935859821874,51.0,11.0,21.0,81.0,91.0
160,406,29979,8532,,,,198,1.0,101.0,51.0,31.702935859821874,51.0,11.0,21.0,81.0,91.0
161,406,30133,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
162,406,30133,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
163,406,30284,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
164,406,30284,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
165,406,30333,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
166,406,30333,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
167,406,30437,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
168,406,30437,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
169,406,30441,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
170,406,30441,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
171,406,30683,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
172,406,30683,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
173,406,30969,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
174,406,30969,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
175,406,30978,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
176,406,30978,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
177,406,31317,8507,,,,132,0.0,101.0,50.99242424242424,31.755385721519133,51.0,11.0,21.0,81.0,91.0
178,406,31317,8532,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
179,406,31602,8507,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
180,406,31602,8532,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
181,406,31609,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
182,406,31609,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
183,406,31610,8507,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
184,406,31610,8532,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
185,406,31668,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
186,406,31668,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
187,406,31821,8507,,,,154,1.0,101.0,51.0,31.725950698322947,51.0,11.0,21.0,81.0,91.0
188,406,31821,8532,,,,154,1.0,101.0,51.0,31.725950698322947,51.0,11.0,21.0,81.0,91.0
189,406,31884,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
190,406,31884,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
191,406,72245,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
192,406,72245,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
193,406,72401,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
194,406,72401,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
195,406,72404,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
196,406,72404,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
197,406,72405,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
198,406,72405,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
199,406,72413,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
200,406,72413,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
201,406,72418,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
202,406,72418,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
203,406,72434,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
204,406,72434,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
205,406,72578,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
206,406,72578,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
207,406,72693,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
208,406,72693,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
209,406,72857,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
210,406,72857,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
211,406,72926,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
212,406,72926,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
213,406,72973,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
214,406,72973,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
215,406,72986,8507,,,,1012,1.0,101.0,51.0,31.638412091688195,51.0,11.0,21.0,81.0,91.0
216,406,72986,8532,,,,1012,1.0,101.0,51.0,31.638412091688195,51.0,11.0,21.0,81.0,91.0
217,406,72994,8507,,,,770,1.0,101.0,51.0,31.643330894787848,51.0,11.0,21.0,81.0,91.0
218,406,72994,8532,,,,770,1.0,101.0,51.0,31.643330894787848,51.0,11.0,21.0,81.0,91.0
219,406,73001,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
220,406,73001,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
221,406,73008,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
222,406,73008,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
223,406,73012,8507,,,,242,1.0,101.0,51.0,31.688316105362258,51.0,11.0,21.0,81.0,91.0
224,406,73012,8532,,,,242,1.0,101.0,51.0,31.688316105362258,51.0,11.0,21.0,81.0,91.0
225,406,73019,8507,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
226,406,73019,8532,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
227,406,73021,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
228,406,73021,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
229,406,73075,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
230,406,73075,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
231,406,73090,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
232,406,73090,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
233,406,73183,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
234,406,73183,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
235,406,73290,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
236,406,73290,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
237,406,73318,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
238,406,73318,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
239,406,73366,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
240,406,73366,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
241,406,73373,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
242,406,73373,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
243,406,73409,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
244,406,73409,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
245,406,73553,8507,,,,792,1.0,101.0,51.0,31.64275940089866,51.0,11.0,21.0,81.0,91.0
246,406,73553,8532,,,,792,1.0,101.0,51.0,31.64275940089866,51.0,11.0,21.0,81.0,91.0
247,406,73560,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
248,406,73560,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
249,406,73574,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
250,406,73574,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
251,406,73580,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
252,406,73580,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
253,406,73649,8507,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
254,406,73649,8532,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
255,406,73686,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
256,406,73686,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
